# Valheim item prefab names, one per line, in the format:
#     Prefab | Display Name | ItemType        (every column after the first is optional)
# A line with no '|' is a bare prefab name and stays valid -- that is what --items FILE accepts.
# An empty column means 'unknown', not an error; ItemType is unfilled pending a game dump.
# Every prefab carrying an ItemDrop component, with English display names, generated from
# Valheim 1.0.7 by JotunnDoc (valheim-modding.github.io/Jotunn, 2026-09-15). Includes some
# creature-attack/NPC prefabs, which are harmless here and keep hash lookup complete;
# extend with --items FILE for items added in later game versions.
Abomination_attack1 | Swing attack
Abomination_attack2 | Slam attack
Abomination_attack3 | Stub to the ground
Acorn | Acorns
Amber | Amber
AmberPearl | Amber Pearl
AncientCoin | Ancient Coin
AncientGemstoneBlack | Draumyx
AncientGemstoneGreen | Grimvarn
AncientGemstoneOrange | Solryth
AncientGemstonePurple | Veydris
AncientSeed | Ancient Seed
ArmorAshlandsMediumChest | Breastplate of Ask
ArmorAshlandsMediumlegs | Trousers of Ask
ArmorBerserkerChest | Patterns of the Bear
ArmorBerserkerLegs | Loincloth of the Bear
ArmorBerserkerUndeadChest | Vilebone Cage
ArmorBerserkerUndeadLegs | Vilebone Drapes
ArmorBronzeChest | Bronze Plate Tunic
ArmorBronzeLegs | Bronze Plate Leggings
ArmorCarapaceChest | Carapace Breastplate
ArmorCarapaceLegs | Carapace Greaves
ArmorDeepNorthHeavyChest | Breastplate of the Protector
ArmorDeepNorthHeavylegs | Trousers of the Protector
ArmorDeepNorthMageChest | Robes of the Caller
ArmorDeepNorthMagelegs | Trousers of the Caller
ArmorDeepNorthMediumChest | Chestpiece of the Vanguard
ArmorDeepNorthMediumlegs | Trousers of the Vanguard
ArmorDress1 | Plain Brown Dress
ArmorDress10 | Simple Undyed Dress
ArmorDress2 | Brown Dress with Shawl
ArmorDress3 | Brown Dress with Beads
ArmorDress4 | Plain Blue Dress
ArmorDress5 | Blue Dress with Shawl
ArmorDress6 | Blue Dress with Beads
ArmorDress7 | Plain Yellow Dress
ArmorDress8 | Yellow Dress with Shawl
ArmorDress9 | Yellow Dress with Beads
ArmorFenringChest | Fenris Coat
ArmorFenringLegs | Fenris Leggings
ArmorFlametalChest | Flametal Breastplate
ArmorFlametalLegs | Flametal Greaves
ArmorGoldHeavyChestUncooked | Cast: Breastplate of the Protector
ArmorGoldHeavyHelmetUncooked | Cast: Helmet of the Protector
ArmorGoldHeavyLegsUncooked | Cast: Trousers of the Protector
ArmorGoldMageChestUncooked | Cast: Robes of the Caller
ArmorGoldMageHelmetUncooked | Cast: Headdress of the Caller
ArmorGoldMageLegsUncooked | Cast: Trousers of the Caller
ArmorGoldMediumChestUncooked | Cast: Chestpiece of the Vanguard
ArmorGoldMediumHelmetUncooked | Cast: Hood of the Vanguard
ArmorGoldMediumLegsUncooked | Cast: Trousers of the Vanguard
ArmorHarvester1 | Harvest Tunic
ArmorHarvester2 | Harvest Dress
ArmorIronChest | Iron Scale Mail
ArmorIronLegs | Iron Greaves
ArmorLeatherChest | Leather Tunic
ArmorLeatherLegs | Leather Trousers
ArmorLoxChest | Lox Fur Jacket
ArmorLoxLegs | Lox Fur Trousers
ArmorMageChest | Eitr-weave Robe
ArmorMageChest_Ashlands | Robes of Embla
ArmorMageLegs | Eitr-weave Trousers
ArmorMageLegs_Ashlands | Trousers of Embla
ArmorPaddedCuirass | Padded Cuirass
ArmorPaddedGreaves | Padded Greaves
ArmorRagsChest | Rag Tunic
ArmorRagsLegs | Rag Trousers
ArmorRootChest | Root Harnesk
ArmorRootLegs | Root Leggings
ArmorTrollLeatherChest | Troll Leather Tunic
ArmorTrollLeatherLegs | Troll Leather Trousers
ArmorTunic1 | Plain Blue Tunic
ArmorTunic10 | Simple Undyed Tunic
ArmorTunic2 | Blue Tunic with Cape
ArmorTunic3 | Blue Tunic with Beads
ArmorTunic4 | Plain Red Tunic
ArmorTunic5 | Red Tunic with Cape
ArmorTunic6 | Red Tunic with Beads
